npi,NE,MW,S,W,female,male,opioid_prescb,opioid,non_opioid
1437284395,0,0,0,0,1,0,0,0,81
1679881221,0,1,0,0,0,1,1,15,252
1760720270,0,1,0,0,0,1,0,0,13
1205948544,0,0,0,1,1,0,0,0,26
1861557605,0,1,0,0,1,0,1,0,16
1255394888,0,0,1,0,0,1,1,182,7086
1619241551,0,0,0,1,0,1,1,24,30
1982711255,0,1,0,0,0,1,0,0,13
1821197385,0,0,0,1,0,1,0,0,913
1396703161,0,0,0,1,0,1,1,25,0
1316292451,0,1,0,0,0,1,0,0,113
1578562096,0,0,1,0,0,1,1,17,976
1689763633,0,0,1,0,0,1,1,156,9908
1134177827,0,0,0,0,1,0,1,197,8584
1194893867,0,0,1,0,0,1,0,0,28
1538179049,0,0,1,0,0,1,0,0,15
1629090709,0,0,0,1,0,1,1,0,59
1811173321,0,1,0,0,0,1,0,0,18
1629325998,0,0,1,0,1,0,1,33,13
1780832766,0,0,1,0,0,1,1,0,24
1588680953,0,1,0,0,0,1,1,341,7547
1639124985,0,1,0,0,0,1,1,27,32
1114359379,0,0,1,0,1,0,0,0,116
1336403260,0,0,1,0,0,1,1,0,283
1578569729,0,1,0,0,1,0,1,128,3264
1194867119,0,0,0,0,0,1,0,0,62
1538489158,0,0,0,1,1,0,1,66,12
1144331943,0,0,1,0,0,1,0,0,750
1043507866,0,1,0,0,0,1,1,16,33
1740397009,0,0,0,1,0,1,1,12,0
1982614293,0,0,0,0,0,1,0,0,569
1922142124,0,1,0,0,0,1,1,0,22
1154492296,0,0,0,0,0,1,1,12,663
1942296470,0,0,0,0,0,1,1,0,74
1295747046,0,0,0,1,0,1,0,0,72
1417123696,0,1,0,0,1,0,1,48,1280
1396960068,0,0,1,0,0,1,1,20,53
1053547042,0,0,1,0,0,1,1,14,21
1326090796,0,0,0,1,0,1,1,11,0
1295721322,0,0,0,1,0,1,1,26,11
1992923775,0,0,1,0,0,1,0,0,14
1316942287,0,0,0,1,1,0,0,0,12
1326024357,0,1,0,0,1,0,1,191,4431
1659302990,0,0,0,0,0,1,1,209,5231
1639386816,0,0,0,0,0,1,0,0,175
1124001771,0,1,0,0,0,1,1,21,0
1053536250,0,0,0,0,0,1,1,39,1058
1790713386,0,0,1,0,1,0,1,40,142
1326099086,0,1,0,0,0,1,0,0,15
1356321442,0,1,0,0,0,1,0,0,675
1619074614,0,0,1,0,0,1,1,16,1309
1306138433,0,0,0,1,1,0,0,0,76
1043438278,0,0,1,0,0,1,0,0,35
1063411924,0,0,1,0,1,0,1,88,2228
1447244678,0,0,1,0,0,1,1,909,18304
1154684074,0,0,1,0,0,1,0,0,80
1447220843,0,0,1,0,0,1,1,143,756
1760426266,0,1,0,0,0,1,1,168,3450
1013934017,0,1,0,0,0,1,1,630,14292
1477872083,0,0,1,0,1,0,0,0,13
1124137708,0,0,0,0,0,1,0,0,3185
1497758395,0,1,0,0,0,1,0,0,16
1265400170,0,0,1,0,1,0,1,386,6387
1497781462,0,0,0,0,0,1,0,0,60
1629088919,0,1,0,0,0,1,0,0,14
1629073598,0,0,0,1,0,1,1,128,1839
1710939228,0,0,1,0,0,1,1,440,113
1861672859,0,0,1,0,0,1,0,0,47
1255432530,0,0,0,1,0,1,1,76,354
1417942335,0,1,0,0,1,0,1,60,1311
1225026453,0,1,0,0,0,1,0,0,18
1851408058,0,1,0,0,0,1,1,14,0
1346228426,0,0,1,0,0,1,0,0,257
1659379725,0,0,0,0,0,1,1,0,1047
1003249343,0,0,1,0,1,0,0,0,312
1265408421,0,1,0,0,1,0,0,0,13
1689620353,0,0,0,0,0,1,0,0,824
1699820431,0,0,0,0,0,1,0,0,370
1801979752,0,0,0,0,0,1,1,12,4290
1518905355,0,0,1,0,0,1,1,218,9650
1063468312,0,1,0,0,0,1,1,349,10288
1558320374,0,0,1,0,1,0,0,0,69
1730205980,0,0,0,1,1,0,0,0,26
1831230655,0,1,0,0,0,1,0,0,52
1164453734,0,0,1,0,1,0,0,0,32
1891704193,0,1,0,0,0,1,1,142,162
1841298767,0,0,1,0,0,1,1,140,1605
1063492809,0,0,1,0,0,1,1,25,0
1952515991,0,0,0,1,0,1,0,0,31
1376549071,0,0,1,0,1,0,0,0,852
1295990554,0,0,1,0,0,1,0,0,55
1679571186,0,0,1,0,0,1,1,12,2010
1063412443,0,0,1,0,0,1,0,0,122
1356570923,0,0,0,1,0,1,1,462,4686
1952615049,0,0,0,0,0,1,1,37,3453
1346282357,0,0,0,0,1,0,1,31,30
1609809797,0,0,1,0,0,1,0,0,32
1275535171,0,0,0,0,0,1,0,0,53
1396740791,0,0,1,0,0,1,1,41,667
1902907587,0,0,0,0,0,1,1,0,23
1548226608,0,0,0,0,1,0,0,0,1849
1548255912,0,0,0,0,0,1,1,64,4504
1972675627,0,0,0,1,1,0,0,0,18
1902943145,0,0,1,0,0,1,0,0,183
1184658528,0,0,0,0,0,1,1,25,2107
1922117787,0,0,0,0,0,1,1,51,0
1578549523,0,0,1,0,0,1,0,0,1163
1912948647,0,0,1,0,0,1,1,11,1198
1497160162,0,0,0,0,0,1,1,13,11
1124186556,0,1,0,0,0,1,0,0,29
1902117203,0,1,0,0,1,0,0,0,41
1588621965,0,0,1,0,0,1,0,0,127
1144532870,0,0,0,0,1,0,1,14,0
1174593164,0,0,1,0,0,1,1,46,14
1669646543,0,0,0,1,0,1,1,18,1100
1093742314,0,1,0,0,0,1,1,0,73
1710901764,0,0,1,0,0,1,0,0,113
1609972959,0,1,0,0,1,0,1,11,785
1619041415,0,0,1,0,0,1,1,219,2515
1083610505,0,0,1,0,0,1,1,34,2614
1962729517,0,0,1,0,0,1,0,0,53
1710095401,0,0,0,1,0,1,1,19,76
1346335981,0,0,1,0,0,1,1,489,3751
1396738472,0,0,0,0,1,0,1,21,36
1881775898,0,0,0,0,1,0,1,32,11
1316052590,0,1,0,0,0,1,1,0,91
1295967164,0,0,0,0,1,0,1,0,19
1619979705,0,1,0,0,0,1,0,0,3702
1265542237,0,0,1,0,1,0,0,0,16
1629071105,0,1,0,0,1,0,0,0,29
1356505333,0,1,0,0,1,0,0,0,36
1124216916,0,0,0,1,0,1,0,0,15
1033319322,0,0,0,1,0,1,0,0,110
1124282082,0,1,0,0,0,1,1,60,1517
1194712240,0,0,1,0,0,1,1,86,175
1447209531,0,0,1,0,0,1,1,701,16836
1295794725,0,0,0,1,0,1,1,127,2997
1225097819,0,1,0,0,0,1,1,76,2778
1477984524,0,0,0,1,1,0,0,0,12
1386963619,0,0,1,0,1,0,1,36,945
1003944646,0,0,0,0,1,0,1,233,3240
1609804087,0,0,0,0,1,0,1,447,13812
1215920319,0,0,0,1,0,1,1,674,8157
1992783393,0,0,1,0,0,1,1,55,430
1538365127,0,0,0,1,0,1,1,49,2395
1477637833,0,0,0,1,0,1,1,13,38
1205960788,0,0,0,0,1,0,0,0,4754
1467488916,0,0,0,0,1,0,0,0,24
1487991568,0,0,1,0,1,0,0,0,181
1730140104,0,0,0,0,0,1,1,47,0
1043347461,0,0,0,1,1,0,1,43,177
1689622268,0,0,1,0,1,0,1,12,94
1114951431,0,1,0,0,0,1,1,328,6508
1841386711,0,0,0,0,0,1,1,78,5163
1255423174,0,0,1,0,0,1,0,0,42
1508157983,0,1,0,0,1,0,1,158,1665
1952379869,0,1,0,0,0,1,1,615,7902
1942316625,0,0,1,0,1,0,0,0,51
1295045516,0,0,0,1,1,0,1,17,238
1114923331,0,0,1,0,0,1,1,697,14490
1801850086,0,0,0,1,0,1,1,34,228
1265495758,0,0,1,0,1,0,1,302,2948
1124052782,0,1,0,0,0,1,1,103,911
1760439673,0,0,0,0,1,0,0,0,408
1982606141,0,0,0,0,1,0,1,29,2490
1518911460,0,0,0,0,0,1,1,407,4787
1235109935,0,0,0,0,1,0,0,0,69
1134565914,0,0,1,0,1,0,0,0,14
1609101583,0,0,1,0,1,0,1,463,2293
1174688790,0,0,1,0,1,0,0,0,15
1265496970,0,0,0,0,0,1,1,14,652
1467415117,0,1,0,0,0,1,1,0,5525
1255332011,0,0,1,0,0,1,0,0,2185
1023050515,0,0,1,0,0,1,1,0,82
1851516660,0,1,0,0,0,1,1,19,216
1770515868,0,0,1,0,0,1,0,0,310
1831128826,0,0,0,0,1,0,1,11,115
1043546732,0,0,0,0,1,0,0,0,290
1134478324,0,0,1,0,1,0,1,400,601
1932217726,0,0,0,1,0,1,0,0,20
1639133838,0,0,1,0,0,1,1,989,649
1093920258,0,1,0,0,1,0,1,0,37
1962441477,0,1,0,0,1,0,1,39,1807
1205831864,0,0,0,1,0,1,1,94,4896
1912076613,0,0,0,0,1,0,0,0,620
1598100612,0,0,0,0,1,0,1,0,1037
1679693402,0,0,0,0,1,0,1,13,511
1134314909,0,0,0,1,1,0,1,26,82
1780609602,0,0,1,0,0,1,1,27,122
1871606541,0,0,0,1,0,1,0,0,152
1053500975,0,0,0,1,0,1,1,29,40
1326058835,0,0,1,0,0,1,1,46,28
1861436719,0,0,0,0,0,1,1,970,17284
1518963487,0,0,0,0,1,0,0,0,3151
1598768905,0,0,0,0,0,1,0,0,11
1902972029,0,0,1,0,0,1,1,32,117
1831326941,0,0,0,1,0,1,0,0,779
1255381109,0,0,0,1,0,1,1,29,3551
1194767806,0,0,1,0,0,1,1,80,7580
1962456905,0,0,0,0,0,1,0,0,984
1295779007,0,0,1,0,0,1,1,68,0
1699823609,0,0,0,1,0,1,1,168,7059
1902110265,0,1,0,0,1,0,1,12,0
1659473221,0,0,1,0,1,0,1,2406,1687
1639227184,0,0,0,0,0,1,1,340,3823
1013950708,0,0,1,0,0,1,0,0,24
1013996701,0,1,0,0,0,1,1,20,11
1083662951,0,1,0,0,0,1,1,562,10964
1831423912,0,1,0,0,1,0,1,44,90
1073743233,0,0,0,1,0,1,1,28,49
1669470308,0,0,0,0,0,1,0,0,763
1548223324,0,0,1,0,0,1,1,188,4388
1134198849,0,0,0,0,0,1,1,204,5898
1194050682,0,1,0,0,0,1,0,0,13
1427129485,0,0,0,1,0,1,0,0,387
1366478265,0,0,1,0,0,1,0,0,41
1851328371,0,1,0,0,1,0,1,20,318
1346233053,0,0,0,0,0,1,1,58,116
1669507943,0,0,1,0,0,1,1,381,262
1457582918,0,0,0,1,0,1,0,0,64
1558419457,0,1,0,0,0,1,0,0,15
1528137726,0,0,0,0,1,0,1,24,13
1952478703,0,0,0,1,0,1,1,86,1726
1588602916,0,0,0,0,0,1,0,0,15
1699764472,0,0,0,1,1,0,1,154,1913
1588614952,0,0,1,0,0,1,1,261,7623
1558661116,0,1,0,0,0,1,0,0,100
1659357234,0,0,0,1,1,0,1,111,1404
1336331636,0,0,0,1,1,0,0,0,29
1679552350,0,1,0,0,1,0,1,11,1019
1396907689,0,0,0,0,1,0,1,44,1313
1245302397,0,0,0,1,0,1,1,25,34
1821282682,0,0,0,1,1,0,1,82,37
1114182664,0,0,0,0,1,0,0,0,12
1598755431,0,0,0,0,0,1,1,155,1932
1366406746,0,0,0,0,0,1,0,0,223
1235170481,0,0,1,0,0,1,1,266,251
1962711739,0,1,0,0,1,0,0,0,72
1194725994,0,0,0,0,1,0,0,0,556
1518093939,0,0,0,1,0,1,0,0,136
1760461677,0,0,0,0,1,0,0,0,45
1154416048,0,0,0,0,0,1,0,0,11
1497926919,0,1,0,0,1,0,0,0,106
1407067432,0,0,0,1,1,0,0,0,24
1255484101,0,0,1,0,0,1,1,20,48
1366564460,0,0,0,0,0,1,1,14,0
1720195407,0,0,0,0,0,1,1,11,24
1598996647,0,0,1,0,1,0,1,0,70
1053584771,0,0,0,0,0,1,1,20,54
1912160045,0,0,0,0,0,1,1,34,1066
1003913468,0,0,1,0,0,1,1,322,6086
1699747592,0,0,1,0,1,0,1,76,1345
1598721243,0,0,1,0,0,1,1,399,9937
1568499564,0,0,0,0,0,1,1,17,13
1457672966,0,0,0,0,0,1,0,0,17
1942245345,0,0,1,0,0,1,1,77,0
1073557989,0,1,0,0,1,0,0,0,2844
1922001627,0,0,1,0,0,1,1,161,557
1144236027,0,1,0,0,0,1,0,0,28
1659635092,0,1,0,0,0,1,0,0,15
1316991649,0,1,0,0,1,0,0,0,89
1447251566,0,0,0,0,1,0,1,151,2145
1164683231,0,0,1,0,0,1,0,0,101
1821188640,0,0,0,1,1,0,1,109,1863
1184606766,0,1,0,0,0,1,1,0,10937
1679578124,0,1,0,0,0,1,0,0,93
1841381845,0,0,0,0,0,1,1,142,1451
1821205386,0,0,0,1,0,1,1,14,69
1821071341,0,0,1,0,0,1,1,198,358
1326057407,0,1,0,0,0,1,1,0,47
1811088552,0,0,1,0,0,1,1,119,7410
1851363899,0,0,0,0,1,0,1,180,1092
1841267150,0,0,1,0,0,1,0,0,86
1447444807,0,0,0,1,1,0,1,104,873
1083771455,0,0,1,0,0,1,1,32,45
1073666095,0,0,1,0,0,1,1,269,286
1750391371,0,0,1,0,0,1,0,0,6270
1548517063,0,0,0,0,1,0,1,211,345
1427025980,0,0,0,0,1,0,0,0,27
1952415176,0,0,1,0,1,0,1,21,26
1891956587,0,0,1,0,0,1,0,0,33
1639338288,0,0,0,1,0,1,1,0,34
1053306431,0,0,0,0,0,1,0,0,86
1780007971,0,1,0,0,1,0,0,0,380
1194904508,0,0,0,1,0,1,1,0,210
1235106881,0,0,0,1,0,1,1,0,27
1295753507,0,0,1,0,0,1,0,0,144
1003825316,0,0,0,0,1,0,0,0,261
1982871299,0,0,1,0,0,1,1,64,1031
1790758662,0,0,0,1,0,1,0,0,314
1083795215,0,0,0,1,1,0,1,148,2443
1306979059,0,0,1,0,0,1,1,287,1972
1083876098,0,0,0,1,0,1,0,0,98
1366579252,0,0,1,0,0,1,0,0,17
1184747206,0,0,1,0,1,0,0,0,2642
1912110040,0,0,1,0,0,1,1,13,2160
1568789741,0,0,1,0,1,0,0,0,38
1659604320,0,0,0,0,1,0,1,12,509
1588691455,0,0,0,1,0,1,1,17,1501
1811183650,0,0,0,0,1,0,0,0,1918
1659300416,0,0,0,0,1,0,1,0,1326
1043356736,0,0,0,1,1,0,0,0,22
1194731042,0,0,1,0,0,1,1,86,173
1356310452,0,0,0,0,1,0,0,0,62
1477710630,0,0,1,0,1,0,1,15,1056
1437236882,0,0,1,0,1,0,0,0,34
1508073198,0,1,0,0,0,1,1,12,979
1376544296,0,0,1,0,1,0,1,0,158
1548225907,0,0,1,0,0,1,0,0,11
1427150549,0,0,0,1,1,0,0,0,15
1609086446,0,0,0,1,1,0,0,0,46
1124079140,0,0,0,1,0,1,0,0,13
1023213287,0,0,0,1,0,1,1,21,30
1124042007,0,0,1,0,0,1,1,73,2984
1992807903,0,1,0,0,0,1,1,17,51
